Name,Symbol
ACC LIMITED,ACC
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
AMARA RAJA BATTERIES LIMITED,AMARAJABAT
AMBUJA CEMENTS LIMITED,AMBUJACEM
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE
ASHOK LEYLAND LIMITED,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT
AUROBINDO PHARMA LIMITED,AUROPHARMA
AXIS BANK LIMITED,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BAJAJ FINANCE LIMITED,BAJFINANCE
BAJAJ FINSERV LIMITED,BAJAJFINSV
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
BANDHAN BANK LIMITED,BANDHANBNK
BANK OF BARODA,BANKBARODA
BATA INDIA LIMITED,BATAINDIA
BERGER PAINTS (I) LIMITED,BERGEPAINT
BHARAT ELECTRONICS LIMITED,BEL
BHARAT FORGE LIMITED,BHARATFORG
BHARAT PETROLEUM CORPORATION LIMITED,BPCL
BHARTI AIRTEL LIMITED,BHARTIARTL
BHARTI INFRATEL LIMITED,INFRATEL
BHARAT HEAVY ELECTRICALS LIMITED,BHEL
BIOCON LIMITED,BIOCON
BOSCH LIMITED,BOSCHLTD
BRITANNIA INDUSTRIES LIMITED,BRITANNIA
CADILA HEALTHCARE LIMITED,CADILAHC
CANARA BANK,CANBK
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
CIPLA LIMITED,CIPLA
COAL INDIA LIMITED,COALINDIA
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
CONTAINER CORPORATION OF INDIA LIMITED,CONCOR
CUMMINS INDIA LIMITED,CUMMINSIND
DABUR INDIA LIMITED,DABUR
DIVI'S LABORATORIES LIMITED,DIVISLAB
DLF LIMITED,DLF
DR. REDDY'S LABORATORIES LIMITED,DRREDDY
EICHER MOTORS LIMITED,EICHERMOT
ESCORTS LIMITED,ESCORTS
EXIDE INDUSTRIES LIMITED,EXIDEIND
THE FEDERAL BANKÿ LIMITED,FEDERALBNK
GAIL (INDIA) LIMITED,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
